Subfolder,File,Accuracy,Precision (macro),Recall (macro),F1 Score (macro),F1 Score (weighted)
full_data_train_BPE_de,bigger_number.csv,0.49666666666666665,0.3627926421404682,0.3478539576365663,0.34008998248128675,0.5088611111111111
full_data_train_BPE_de,first_alphabetically.csv,0.7,0.5952771519910057,0.6153049183423015,0.5542970380282353,0.7005188991043912
full_data_train_BPE_de,first_alphabetically_consecutive_first_letter.csv,0.7016666666666667,0.5616560056858564,0.46671641791044777,0.4953750726885055,0.7562330447330448
full_data_train_BPE_de,first_alphabetically_different_first_letter.csv,0.8333333333333334,0.6395348837209303,0.5292372679000585,0.57215845183951,0.8980477872975966
full_data_train_BPE_de,first_alphabetically_far_first_letter.csv,0.8383333333333334,0.6206896551724138,0.5248974205870758,0.560753035476073,0.8941233119742811
full_data_train_BPE_de,first_alphabetically_same_first_letter.csv,0.5666666666666667,0.4559405940594059,0.4345709570957096,0.41740816938836744,0.580719215969216
full_data_train_BPE_de,first_letter.csv,0.14,0.14440392197723909,0.20769460337642157,0.1497792073508288,0.10680846439425466
full_data_train_BPE_de,first_word.csv,0.0,0.0,0.0,0.0,0.0
full_data_train_BPE_de,last_letter.csv,0.31666666666666665,0.2253139837045136,0.24617531177726448,0.18057718861274955,0.30643236792418244
full_data_train_BPE_de,last_word.csv,0.14333333333333334,0.09202207939452837,0.0994290573372206,0.08996155960441676,0.14273478373478374
full_data_train_BPE_de,less_letters.csv,0.5383333333333333,0.49150719615615257,0.33219101555202124,0.36539778556701663,0.6065966803325499
full_data_train_BPE_de,less_letters_length_diff_1.csv,0.48833333333333334,0.44814174773852194,0.46152500426693976,0.40986052477987955,0.4649833638583639
full_data_train_BPE_de,less_letters_length_diff_3plus.csv,0.565,0.45925925925925926,0.2713071605228468,0.32164901528540474,0.6697461200209376
full_data_train_BPE_de,more_letters.csv,0.5816666666666667,0.5828838156594061,0.480299730890282,0.466037982151521,0.6185118101563114
full_data_train_BPE_de,more_letters_length_diff_1.csv,0.5266666666666666,0.5188177638997312,0.49841269841269836,0.45957990097334356,0.5117552123802123
full_data_train_BPE_de,more_letters_length_diff_3plus.csv,0.5683333333333334,0.5255474452554745,0.32932693826854403,0.3828829093623699,0.6753769470365514
full_data_train_BPE_de,smaller_number.csv,0.6733333333333333,0.5482881136950903,0.5364341085271318,0.527162544604405,0.6837698412698413
full_data_train_BPE_de,word_after.csv,0.11,0.06032205031044871,0.08570803578221975,0.06276730090189506,0.08719876140334544
full_data_train_BPE_de,word_before.csv,0.09333333333333334,0.0490675719162377,0.07601065348720933,0.054112973062801835,0.06839950000019729
full_data_train_de,bigger_number.csv,0.83,0.7245649263721553,0.7063253012048193,0.7074775291642762,0.8400476190476192
full_data_train_de,first_alphabetically.csv,0.9016666666666666,0.8318014128728414,0.8335892943035801,0.8156080008587545,0.9044458324010973
